id;cart_key;created_at;is_checked_out;customer_id
1;0fdbaf55-1ce4-4a35-a28c-1b417fb0a050;2025-09-03T09:31:40;true;1
2;c5720807-5d51-4f26-9f6e-c62c6b5e2c54;2025-09-03T08:13:38;true;2
3;7f261cb3-8ef4-4c90-b54a-44a1640c5e14;2025-09-03T03:23:30;true;3
4;c553ecc4-5e67-4c68-9d96-07d950c09fc5;2025-09-03T10:40:31;false;4
5;b239c707-0fa4-42dc-b204-5e0b7200c4b7;2025-09-02T19:57:36;true;5
6;ab5ef34b-19f3-40a5-a2cc-6ddd087232b3;2025-09-03T12:06:18;true;6
7;81063591-3fb2-44bd-89a6-d73cf180527c;2025-09-03T06:26:41;false;7
8;33947577-e043-4732-9d0b-1311e7cefa4a;2025-09-02T16:11:10;true;8
9;1bf1ace7-45d5-4581-8c0b-567d082fc76b;2025-09-03T11:43:35;false;9
10;dfb8484f-b2de-44c7-becc-c405642c73a4;2025-09-03T10:16:15;false;10
